,user,date,text,likes,company
76,muchojordan,Mon Oct 26 00:15:31 +0000 2020,"@nwlaguy I mean, I know people change but you could be a case study for how Facebook and Twitter has been used to radicalize the GOP base.",0,Facebook
77,zengphi,Mon Oct 26 00:15:43 +0000 2020,"RT @cnnphilippines: Actress-singer Nadine Lustre shows her vulnerable side in her debut album, 'Wildest Dreams.'

She says it's inspired by…",0,Facebook
78,Adolfo_TDU,Mon Oct 26 00:15:32 +0000 2020,RT @CSMFHT: As seen on Facebook https://t.co/kA3IUOSBJQ,0,Facebook
79,badgermom88,Mon Oct 26 00:15:32 +0000 2020,"RT @SaraGideon: While Senator Collins may not want to be seen with Donald Trump in Maine today, her record is clear: She’s put Trump ahead…",0,Facebook
80,_NAMONG06_,Mon Oct 26 00:15:32 +0000 2020,"RT @Brightwin4_ever: Schedule💚win metawin🐰

Wall’s Viennetta  
🕑 21.00-22.00 
🗓 26-10-20
 🎬Facebook 
 🎬Youtube : GMMTV (Live)

📍สำหรับ # จะ…",0,Facebook
81,brightwinniie,Mon Oct 26 00:15:33 +0000 2020,RT @rosemilk_fairy: Wall’s Thailand posted a new link for @winmetawin’s live tomorrow at 9pm on GMMTV’s FB page. Go like it and leave posit…,0,Facebook
82,Nice19480968,Mon Oct 26 00:15:33 +0000 2020,RT @99PCTGOD: @Frothymilo07 @BlazedRTs @sme_rt @FMC_RTs @PromoteAMGamers @rtsmallstreams @SupStreamers @promo_streams https://t.co/AD1p9aQK…,0,Facebook
83,Wolfsbau,Mon Oct 26 00:15:33 +0000 2020,RT @Sklarsky: @birbigs Why is it that comedians need to stick to comedy and athletes need to stick to sports but the real estate agent from…,0,Facebook
84,ShelbyOhWx,Mon Oct 26 00:15:34 +0000 2020,"Thank you for following the Official Shelby Ohio Weather, Twitter account. covering all of North Central Ohio, Isla… https://t.co/q7ysIrempR",0,Facebook
85,oh_magicshop,Mon Oct 26 00:15:34 +0000 2020,"RT @welovemewgulf: [MewGulf Schedule] 10.26.2020

[EVENT] Little Miracle x MewGulf Meet &amp; Greet Charity
🕕 1:00PM to 3:00PM 🇹🇭
🎥 TBA

[LIVE]…",0,Facebook
86,mnagusd,Mon Oct 26 00:15:34 +0000 2020,RT @bts_bighit: #BTS #방탄소년단 MAP OF THE SOUL ON:E Photo Sketch @(https://t.co/Ax2MYkbR3Y) https://t.co/jCmN72SYzM,0,Facebook
87,nancywriteon,Mon Oct 26 00:15:35 +0000 2020,"RT @SaraGideon: While Senator Collins may not want to be seen with Donald Trump in Maine today, her record is clear: She’s put Trump ahead…",0,Facebook
88,AngelaZ_twt,Mon Oct 26 00:15:35 +0000 2020,RT @bts_bighit: #BTS #방탄소년단 MAP OF THE SOUL ON:E Photo Sketch @(https://t.co/Ax2MYkbR3Y) https://t.co/jCmN72SYzM,0,Facebook
89,dgouldin,Mon Oct 26 00:15:35 +0000 2020,Every day Facebook makes it easier and easier to justify not having an account. https://t.co/zEijKunQCh,0,Facebook
