,date,count,Company,Ticker,Source
56,20-08-12,1607,Netflix,NFLX,Twitter
57,20-08-12,104474,Amazon,AMZN,Twitter
58,20-08-12,5258,Apple,AAPL,Twitter
59,20-08-12,439959,Facebook,FB,Twitter
60,20-08-13,1346,Netflix,NFLX,Twitter
61,20-08-13,829,Google,GOOGL,Twitter
62,20-08-13,100847,Amazon,AMZN,Twitter
63,20-08-13,8084,Apple,AAPL,Twitter
64,20-08-13,354198,Facebook,FB,Twitter
65,20-08-14,116607,Amazon,AMZN,Twitter
66,20-08-14,1456,Google,GOOGL,Twitter
67,20-08-14,1408,Netflix,NFLX,Twitter
68,20-08-14,5984,Apple,AAPL,Twitter
69,20-08-14,342350,Facebook,FB,Twitter
70,20-08-15,334197,Facebook,FB,Twitter
71,20-08-15,1905,Google,GOOGL,Twitter
72,20-08-15,800,Netflix,NFLX,Twitter
73,20-08-15,3189,Apple,AAPL,Twitter
74,20-08-15,105723,Amazon,AMZN,Twitter
75,20-08-16,592,Google,GOOGL,Twitter
76,20-08-16,813,Netflix,NFLX,Twitter
77,20-08-16,99981,Amazon,AMZN,Twitter
78,20-08-16,332033,Facebook,FB,Twitter
79,20-08-16,3142,Apple,AAPL,Twitter
80,20-08-17,106646,Amazon,AMZN,Twitter
81,20-08-17,361894,Facebook,FB,Twitter
82,20-08-17,904,Google,GOOGL,Twitter
83,20-08-17,1289,Netflix,NFLX,Twitter
84,20-08-17,5135,Apple,AAPL,Twitter
85,20-08-18,1125,Google,GOOGL,Twitter
86,20-08-18,371116,Facebook,FB,Twitter
87,20-08-18,5126,Apple,AAPL,Twitter
88,20-08-18,115273,Amazon,AMZN,Twitter
89,20-08-18,1604,Netflix,NFLX,Twitter
90,20-08-19,9563,Apple,AAPL,Twitter
91,20-08-19,1142,Google,GOOGL,Twitter
92,20-08-19,1606,Netflix,NFLX,Twitter
93,20-08-19,122092,Amazon,AMZN,Twitter
94,20-08-19,393061,Facebook,FB,Twitter
95,20-08-20,7822,Apple,AAPL,Twitter
96,20-08-20,1969,Netflix,NFLX,Twitter
97,20-08-20,384241,Facebook,FB,Twitter
98,20-08-20,1143,Google,GOOGL,Twitter
99,20-08-20,129005,Amazon,AMZN,Twitter
100,20-08-21,359081,Facebook,FB,Twitter
101,20-08-21,1850,Netflix,NFLX,Twitter
102,20-08-21,12334,Apple,AAPL,Twitter
103,20-08-21,923,Google,GOOGL,Twitter
104,20-08-21,374692,Amazon,AMZN,Twitter
105,20-08-22,338103,Facebook,FB,Twitter
106,20-08-22,1095,Netflix,NFLX,Twitter
107,20-08-22,5649,Apple,AAPL,Twitter
108,20-08-22,513,Google,GOOGL,Twitter
109,20-08-22,122228,Amazon,AMZN,Twitter
110,20-08-23,825,Google,GOOGL,Twitter
111,20-08-23,920,Netflix,NFLX,Twitter
112,20-08-23,4212,Apple,AAPL,Twitter
113,20-08-23,340438,Facebook,FB,Twitter
114,20-08-23,108194,Amazon,AMZN,Twitter
115,20-08-24,885,Google,GOOGL,Twitter
116,20-08-24,362184,Facebook,FB,Twitter
117,20-08-24,1280,Netflix,NFLX,Twitter
118,20-08-24,10901,Apple,AAPL,Twitter
119,20-08-24,240450,Amazon,AMZN,Twitter
120,20-08-25,1628,Netflix,NFLX,Twitter
121,20-08-25,8685,Apple,AAPL,Twitter
122,20-08-25,421825,Facebook,FB,Twitter
123,20-08-25,983,Google,GOOGL,Twitter
124,20-08-25,134103,Amazon,AMZN,Twitter
125,20-08-26,7831,Apple,AAPL,Twitter
126,20-08-26,415705,Facebook,FB,Twitter
127,20-08-26,3767,Netflix,NFLX,Twitter
128,20-08-26,129172,Amazon,AMZN,Twitter
129,20-08-26,3471,Google,GOOGL,Twitter
130,20-08-27,362709,Facebook,FB,Twitter
131,20-08-27,1740,Google,GOOGL,Twitter
132,20-08-27,2175,Netflix,NFLX,Twitter
133,20-08-27,7016,Apple,AAPL,Twitter
134,20-08-27,131531,Amazon,AMZN,Twitter
135,20-08-28,268583,Amazon,AMZN,Twitter
136,20-08-28,713,Google,GOOGL,Twitter
137,20-08-28,7413,Apple,AAPL,Twitter
138,20-08-28,1442,Netflix,NFLX,Twitter
139,20-08-28,355892,Facebook,FB,Twitter
140,20-08-29,431,Google,GOOGL,Twitter
141,20-08-29,605,Netflix,NFLX,Twitter
142,20-08-29,125755,Amazon,AMZN,Twitter
143,20-08-29,364582,Facebook,FB,Twitter
144,20-08-29,3758,Apple,AAPL,Twitter
145,20-08-30,3468,Apple,AAPL,Twitter
146,20-08-30,721,Netflix,NFLX,Twitter
147,20-08-30,373746,Facebook,FB,Twitter
148,20-08-30,425,Google,GOOGL,Twitter
149,20-08-30,112095,Amazon,AMZN,Twitter
150,20-08-31,1718,Netflix,NFLX,Twitter
151,20-08-31,120889,Amazon,AMZN,Twitter
152,20-08-31,15051,Apple,AAPL,Twitter
153,20-08-31,383185,Facebook,FB,Twitter
154,20-08-31,1002,Google,GOOGL,Twitter
